name,Standardized_Name,Brand,Category,Sub_Category,Micro_Category,Size_Weight,mrp
Ragi Biscuit-160Gm,Ragi Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Ragi Biscuits,150g,10
Red Velvet Cookies-55Gm,Red Velvet Cookies,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,55g,5
Spl Salt Biscuit-160Gm,Spl Salt Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,5
Sugar Free Biscuit-160Gm,Sugar Free Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,10
Coconut Walnut Butter Delight Cookies-125Gm,Coconut Walnut Butter Delight Cookies,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,125g,40
Jam Drop Butter Cookies-125Gm,Jam Drop Butter Cookies,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,125g,20
Butter Cream Cake-Pineapple-1000Gm,Butter Cream Cake-Pineapple,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,1000g,5
Butter Cream Cake-Vanilla-60Gm,Butter Cream Cake-Vanilla,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,60g,166
Banana Walnut Cake-330Gm,Banana Walnut Cake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,330g,138
Plum Cake 6 In 1-250Gm,Plum Cake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,6pcs,10
Plum Cake 12 In 1-500Gm,Plum Cake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,6pcs,5
Wheat Cake-300Gm,Wheat Cake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,300g,5
Fruit Cake-150Gm,Fruit Cake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,150g,10
Black Forest Pastry-1000Gm,Black Forest Pastry,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,1000g,33
Chocolate Muffin-2 In 1-80Gm,Chocolate Muffin,Unknown,Sweet Tooth,Chocolates & Bars,Chocolate Bars,2pcs,5
Dates & Walnut Muffin-80Gm,Dates & Walnut Muffin,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,80g,219
Vanilla Surprise Muffin-75Gm,Vanilla Surprise Muffin,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,75g,63
Raidal 50Gm,Raidal,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,pc,12
Veg Pulav,Veg Pulav,Unknown,Instant & Frozen Food,Ready-to-Eat,Ready-to-Eat Rice,pc,10
Coconut Biscuit-160Gm,Coconut Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,15
Dry Coconut Biscuit-290Gm,Dry Coconut Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,290g,6
Milk Biscuit-160Gm,Milk Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,10
Baked Nippattu-75Gm,Baked Nippattu,Unknown,Snacks & Munchies,Namkeen & Farsan,Chakali & Murukku,75g,70
Assorted Doughnut-120Gm,Assorted Doughnut,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Doughnuts,120g,122
Rusk-220Gm,Rusk,Unknown,"Dairy, Bread & Eggs",Rusks & Toasts,Rusk,220g,10
Rajama Black 250Gm,Rajama Black,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,250g,50
Cinthol Deo 100G*3U,Cinthol Deo*3U,Cinthol,Personal Care,Bath & Body,Soaps & Bars,100g,150
Mawa Peda - 250Gm,Mawa Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,20
Fruit Bread-330Gm,Fruit Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,330g,2
Khara Bun-135Gm,Khara Bun,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Buns,135g,10
Masala Bread-330Gm,Masala Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,330g,2
Multi Grain Bread-350Gm,Multi Grain Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,350g,10
Ragi Bread-400Gm,Ragi Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,400g,18.9
Rajama White 250Gm,Rajama White,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,250g,50
Sweet Bread-310Gm,Sweet Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,310g,61
Wheat Salt Bread-375Gm,Wheat Salt Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,375g,10
Wheat Sweet Bread-375Gm,Wheat Sweet Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,375g,53
Multi Grain Biscuit-160Gm,Multi Grain Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,2
Masala Puff-135Gm,Masala Puff,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Breads,135g,25
Cinemon Roll-90Gm,Cinemon Roll,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Breads,90g,10
Brown Bread-385Gm,Brown Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,385g,189
Puliyogare-140Gm,Puliyogare,Unknown,Instant & Frozen Food,Ready-to-Eat,Ready-to-Eat Rice,140g,10
Corn Puff Mini-70Gm,Corn Puff Mini,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,70g,10
Agarbatti,Agarbatti,Unknown,Pooja Needs,Incense & Diyas,Agarbatti,pc,300
Karnataka Honey-500Gm,Karnataka Honey,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,500g,53
Karnataka Honey-250Gm,Karnataka Honey,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,500g,53
Samosa-100Gm,Samosa,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,pc,10
Coconut Set With Butti-Rs.70,Coconut Set With Butti-Rs.70,Unknown,Pooja Needs,Pooja Accessories,Pooja Samagri,pc,54
Water-Bisleri-500Ml,Water-Bisleri,Bisleri,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,500ml,10
Choco Doughnut-85Gm,Choco Doughnut,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Doughnuts,85g,126
Ragi Rusk-220Gm,Ragi Rusk,Unknown,"Dairy, Bread & Eggs",Rusks & Toasts,Rusk,220g,10
Krishna Image,Krishna Image,Unknown,Pooja Needs,Idols & Frames,Spiritual Photo Frames,pc,255
Cheesecake-210Gm,Cheesecake,Unknown,Sweet Tooth,Cakes & Pastries,Cakes & Pastries,210g,123
Double Chocolate Cookies-160Gm,Double Chocolate Cookies,Unknown,Sweet Tooth,Chocolates & Bars,Chocolate Bars,160g,15
Crockery Set,Crockery Set,Unknown,Home & Lifestyle,Kitchen & Dining,Crockery Sets,pc,122
Crockery Set,Crockery Set,Unknown,Home & Lifestyle,Kitchen & Dining,Crockery Sets,pc,122
Breakfast Chocolate Bun-180Gm,Breakfast Chocolate Bun,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Buns,180g,10
Jam Bun-90Gm,Jam Bun,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Buns,90g,60
Water Bottle 250Ml,Water Bottle,Unknown,Cold Drinks & Juices,Water & Hydration,Packaged Water,250ml,53
Sweet Bun-135Gm,Sweet Bun,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Buns,135g,75
Surf Excel Liq. Tl 4L,Surf Excel Liq. Tl,Surf Excel,Cleaning Essentials,Laundry,Detergent Powder,4L,718
Panneer,Panneer,Unknown,"Dairy, Bread & Eggs",Cheese & Paneer,Paneer,pc,400
Masala Bread-330Gm,Masala Bread,Unknown,"Dairy, Bread & Eggs",Breads & Loaves,Speciality Bread,330g,25
Cold Coffee,Cold Coffee,Unknown,Cold Drinks & Juices,Juices & Drinks,Cold Coffee,pc,125
Rice,Rice,Unknown,"Atta, Rice & Dal",Rice,Raw Rice,pc,100
A Second Chance (Hindi),A Second Chance (Hindi),Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,300
A Second Chance (Hindi),A Second Chance (Hindi),Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,3000
Dhaniya 100G,Dhaniya,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,100g,25
Aam Papad,Aam Papad,Unknown,Snacks & Munchies,Namkeen & Farsan,Papads & Wafers,pc,25
Cheese Ring,Cheese Ring,Unknown,Snacks & Munchies,Chips & Crisps,Chips & Crisps,pc,20
Upwas Wefers 100 Gm,Upwas Wefers,Unknown,Snacks & Munchies,Chips & Crisps,Chips & Crisps,100g,25
Medicare Anti Lise Shampoo 50Ml,Medicare Anti Lise Shampoo,Medicare,Personal Care,Hair Care,Shampoos,50ml,50
Vatika Hair Oil 75Ml,Vatika Hair Oil,Dabur,Masala & Dry Fruits,Cooking Oils,Cooking Oils,75ml,42
Vatika Hair Oil 150Ml,Vatika Hair Oil,Dabur,Masala & Dry Fruits,Cooking Oils,Cooking Oils,75ml,84
Rice,Rice,Unknown,"Atta, Rice & Dal",Rice,Raw Rice,pc,25
Idex Pain Balm 16G,Idex Pain Balm,Idex,Pharma & Wellness,OTC Medicines,Pain Relief,16g,55
5 Star 10.1Gm Plpch New Softer Bar,5 Star New Softer Bar,Unknown,Sweet Tooth,Chocolates & Bars,Chocolate Bars,10.1g,5
5 Star 40 Gm Plpch New Softer Bar Choco Milk,5 Star New Softer Bar Choco Milk,Unknown,Sweet Tooth,Chocolates & Bars,Chocolate Bars,40g,20
50-50 Maska Chaska 105G,50-50 Maska Chaska,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits,100g,30
Khara Bun-135Gm,Khara Bun,Unknown,"Dairy, Bread & Eggs",Buns & Rolls,Buns,135g,5555
Atta,Atta,Unknown,"Atta, Rice & Dal",Atta & Flours,Wheat Flour / Atta,pc,120
Mouse,Mouse,Unknown,Pooja Needs,Pooja Accessories,Pooja Samagri,pc,100
Cadbury Celebration 158.6G,Cadbury Celebration,Cadbury,Sweet Tooth,Chocolates,Gift Box Chocolates,pc,160
Achar Masala. 250G,Achar Masala.,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,250g,160
Amporios Jeera Ajwain Sticks,Amporios Jeera Ajwain Sticks,Unknown,Sweet Tooth,Indian Mithai,Traditional Sweets,pc,39
Gulab Cp Sesame Oil 1L,Gulab Cp Sesame Oil,Unknown,Masala & Dry Fruits,Cooking Oils,Cooking Oils,1L,590
Hide&Seek Cream Sandwiches 400G,Hide&Seek Cream Sandwiches,Parle,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,400g,180
Amul 200 Gm Cube ( 8X25Gm ) [Prochs],Amul Cube ( 8X ) [Prochs],Amul,"Dairy, Bread & Eggs",Cheese & Paneer,Processed Cheese,200g,127
Amul Fresh Cream\Cream\Tba 250 Ml- 12,Amul Fresh Cream\Cream\Tba- 12,Amul,"Dairy, Bread & Eggs",Milk & Cream,Fresh Cream,250ml,67
Amul [Butter] 100 Gm [Salted],Amul Butter,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Ghee,200g,56
Anuved Chanan,Anuved Chanan,Anuved,"Atta, Rice & Dal",Dals & Pulses,Chana,pc,75
Ariel Matick 4+2,Ariel Matick 4+2,Ariel,Cleaning Essentials,Laundry,Detergent Powder,pc,1499
Asr 90 Gm Plpch Coconut Green Chutney,Asr Plpch Coconut Green Chutney,Unknown,Masala & Dry Fruits,Masala & Spices,Masala & Spice Blends,90g,50
Asr Chutney Powder 100G,Asr Chutney Powder,ASR,Masala & Dry Fruits,Pickles & Chutneys,Chutney,100g,44
Aashirvaad Atta 1Kg,Aashirvaad Atta,Aashirvaad,"Atta, Rice & Dal",Atta & Flour,Whole Wheat Atta,1kg,60
Achar Masala 100G,Achar Masala,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,100g,80
Ahemdabadi Mix,Ahemdabadi Mix,Unknown,Snacks & Munchies,Namkeen & Farsan,Mixture & Bhel,pc,70
Ahmadabadi Mix,Ahmadabadi Mix,Unknown,Snacks & Munchies,Namkeen & Farsan,Mixture & Bhel,pc,75
Aipino Organic Pb Crunch. U. S.,Aipino Organic Pb Crunch. U. S.,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,549
Barik Mataki 250Gm,Barik Mataki,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,250g,65
Klf Coconut Oil 450Ml,Klf Coconut Oil,KLF,Masala & Dry Fruits,Cooking Oils,Cooking Oils,450ml,287
Akhabari Roasted Pista,Akhabari Roasted Pista,Unknown,Masala & Dry Fruits,Dry Fruits & Nuts,Dry Fruits & Nuts,pc,1800
Alashi,Alashi,Unknown,Masala & Dry Fruits,Masala & Spices,Masala & Spice Blends,250G,100
Alashi,Alashi,Unknown,Masala & Dry Fruits,Masala & Spices,Masala & Spice Blends,250G,200
Alashi 100G,Alashi50G,Unknown,Masala & Dry Fruits,Seeds & Herbs,Seeds & Dry Herbs,50g,24
Alashi50G,Alashi50G,Unknown,Masala & Dry Fruits,Seeds & Herbs,Seeds & Dry Herbs,50g,12
Alpino Classic Pb .Crunch,Alpino Classic Pb .Crunch,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,199
Alpino Hp. Pb. Crunch Natural,Alpino Hp. Pb. Crunch Natural,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,279
Alpino Natural Pb. Crunch U.S.,Alpino Natural Pb. Crunch U.S.,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,219
Alpino Organic Pb. Crunch U. S.,Alpino Organic Pb. Crunch U. S.,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,249
Alpino Classic P.B.Crunch,Alpino Classic P.B.Crunch,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,499
Alpino Classic P.B.Smooth,Alpino Classic P.B.Smooth,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,449
Alpino Hp. Pb. Crunch Natural,Alpino Hp. Pb. Crunch Natural,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,649
Alpino Hp. Pb. Dark Choclate,Alpino Hp. Pb. Dark Choclate,Alpino,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,pc,275
Amar Tea,Amar Tea,Unknown,"Tea, Coffee & Health Drinks",Tea,Loose & Packet Tea,pc,85
Ambi Pur Exotic Jasmine Room Freshener,Ambi Pur Exotic Jasmine Room Freshener,Ambi Pur,Home & Lifestyle,Air Fresheners,Room Fresheners,pc,279
Amul 300 Gm Plcnt Chocominis [Mouldd],Amul Plcnt Chocominis [Mouldd],Amul,Sweet Tooth,Chocolates,Chocolate,300g,140
Amul Butter 200G,Amul Butter,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Ghee,200g,118
Amul Cow Ghee 1L,Amul Cow Ghee,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Cow Ghee,500ml,555
Amul Kool Rose 180Ml,Amul Kool Rose,Amul,Cold Drinks & Juices,Flavoured Milk,Flavoured Milk,180ml,22
Amul Pure Ghee 1L,Amul Pure Ghee,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Ghee,1L,540
Amul Pure Ghee 500Ml,Amul Pure Ghee,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Ghee,1L,265
Amul 500 Ml Plpch Cow Ghee,Amul Plpch Cow Ghee,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Ghee,500ml,325
Amul Mithai Mate Condensed Milk 200G,Amul Mithai Mate Condensed Milk,Amul,"Dairy, Bread & Eggs",Condensed Milk,Sweetened Condensed Milk,400g,48
Amul Pasteurised Butter 500 Gms,Amul Pasteurised Butter,Amul,"Dairy, Bread & Eggs",Ghee & Butter,Butter,500gs,275
Amul Processed Cheese 200 Gms,Amul Processed Cheese,Amul,"Dairy, Bread & Eggs",Cheese & Paneer,Processed Cheese,200g,123
Ambemohar Rice 1Kg,Ambemohar Rice,Unknown,"Atta, Rice & Dal",Rice,Ambemohar Rice,250g,220
Akhabari Pista 250G,Akhabari Pista,Akhabari,Masala & Dry Fruits,Dry Fruits & Nuts,Pistachios,100g,600
